Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
26,35.9,30.3,294,282.6,68,93,47.0,19.0,21.0,-7.0
28,35.8,30.2,316,304.5,86,108,68.0,47.0,18.0,-3.0
30,35.7,30.2,332,320.6,100,121,86.0,68.0,14.0,-4.0
32,35.6,30.2,307,297.0,80,88,100.0,86.0,-20.0,-34.0
34,35.5,30.3,309,299.3,82,76,80.0,100.0,2.0,22.0
36,35.4,30.3,305,296.0,80,86,82.0,80.0,-2.0,-4.0
38,35.3,30.3,301,292.7,76,79,80.0,82.0,-4.0,-2.0
40,35.3,30.3,251,244.1,36,25,76.0,80.0,-40.0,-36.0
43,35.2,30.7,255,247.7,39,18,36.0,76.0,3.0,43.0
45,35.2,30.9,236,228.9,23,20,39.0,36.0,-16.0,-19.0
47,35.2,30.8,257,249.4,40,36,23.0,39.0,17.0,33.0
49,35.1,30.8,268,260.6,50,64,40.0,23.0,10.0,-7.0
51,34.9,31.7,267,258.8,48,55,50.0,40.0,-2.0,-12.0
53,34.8,31.3,266,259.2,49,50,48.0,50.0,1.0,3.0
55,34.7,31.2,256,250.1,41,41,49.0,48.0,-8.0,-9.0
57,34.5,31.1,259,254.2,45,43,41.0,49.0,4.0,12.0
59,34.4,31.2,263,258.5,48,53,45.0,41.0,3.0,-1.0
61,34.3,31.3,268,263.7,52,57,48.0,45.0,4.0,1.0
63,34.3,31.4,232,228.1,23,17,52.0,48.0,-29.0,-33.0
65,34.2,31.4,225,221.6,17,0,23.0,52.0,-6.0,23.0
16,34.1,35.5,224,214.1,11,12,17.0,23.0,-6.0,0.0
18,34.0,36.0,248,236.6,30,41,11.0,17.0,19.0,25.0
20,33.9,36.2,268,255.8,45,61,30.0,11.0,15.0,-4.0
22,33.7,36.0,291,279.3,65,82,45.0,30.0,20.0,5.0
24,33.6,35.7,306,294.9,78,98,65.0,45.0,13.0,-7.0
26,33.5,35.3,320,310.0,90,107,78.0,65.0,12.0,-1.0
28,33.4,35.3,336,326.1,105,123,90.0,78.0,15.0,3.0
30,33.3,35.3,302,293.7,77,84,105.0,90.0,-28.0,-43.0
33,33.3,35.4,279,271.1,59,42,77.0,105.0,-18.0,10.0
35,33.2,35.5,259,251.9,42,29,59.0,77.0,-17.0,1.0
37,33.1,35.5,245,238.8,31,19,42.0,59.0,-11.0,6.0
39,33.1,35.5,235,229.0,24,15,31.0,42.0,-7.0,4.0
41,33.1,35.4,228,222.4,18,11,24.0,31.0,-6.0,1.0
51,33.0,35.1,229,224.3,20,24,18.0,24.0,2.0,8.0
53,33.0,35.8,256,249.4,40,57,20.0,18.0,20.0,18.0
55,32.9,36.4,286,277.9,64,85,40.0,20.0,24.0,4.0
57,32.7,36.3,302,294.8,78,100,64.0,40.0,14.0,-10.0
59,32.6,36.1,319,312.5,93,111,78.0,64.0,15.0,1.0
61,32.5,36.1,338,331.8,109,130,93.0,78.0,16.0,1.0
64,32.4,36.0,358,352.4,126,149,109.0,93.0,17.0,1.0
66,32.3,36.0,374,368.8,140,165,126.0,109.0,14.0,-3.0
68,32.2,35.9,385,380.7,150,173,140.0,126.0,10.0,-4.0
70,32.1,36.0,393,389.1,157,178,150.0,140.0,7.0,-3.0
73,32.1,35.9,360,356.7,130,138,157.0,150.0,-27.0,-34.0
75,32.1,35.8,341,338.2,115,105,130.0,157.0,-15.0,12.0
77,32.0,36.3,333,329.6,107,105,115.0,130.0,-8.0,7.0
79,32.0,37.4,328,321.8,100,101,107.0,115.0,-7.0,1.0
81,32.0,37.2,347,341.0,116,125,100.0,107.0,16.0,23.0
84,31.9,37.8,373,365.5,137,163,116.0,100.0,21.0,5.0
86,31.7,35.5,388,388.8,156,186,137.0,116.0,19.0,-2.0
88,31.4,36.1,435,436.4,196,234,156.0,137.0,40.0,21.0
90,31.2,36.9,490,490.4,241,297,196.0,156.0,45.0,5.0
93,31.1,37.6,551,549.5,290,355,241.0,196.0,49.0,4.0
95,31.0,38.6,611,605.7,337,409,290.0,241.0,47.0,-2.0
97,30.9,38.9,671,664.9,386,463,337.0,290.0,49.0,2.0
121,31.1,38.1,746,741.0,450,476,386.0,337.0,64.0,15.0
123,31.2,37.9,703,698.0,414,429,450.0,386.0,-36.0,-100.0
125,31.3,37.6,666,661.5,384,394,414.0,450.0,-30.0,6.0
127,31.4,37.6,626,620.5,350,358,384.0,414.0,-34.0,-4.0
130,31.5,37.2,592,587.5,322,327,350.0,384.0,-28.0,6.0
132,31.6,37.1,572,567.0,305,314,322.0,350.0,-17.0,11.0
134,31.7,37.0,546,540.6,283,295,305.0,322.0,-22.0,-5.0
136,31.8,36.7,529,524.0,269,278,283.0,305.0,-14.0,8.0
138,31.9,36.4,515,510.3,258,271,269.0,283.0,-11.0,3.0
141,32.0,36.3,506,500.8,250,265,258.0,269.0,-8.0,3.0
143,32.0,35.9,491,487.5,239,254,250.0,258.0,-11.0,-3.0
145,32.2,35.8,496,490.9,241,258,239.0,250.0,2.0,13.0
147,32.3,35.6,485,479.8,232,252,241.0,239.0,-9.0,-11.0
150,32.4,35.5,483,477.3,230,246,232.0,241.0,-2.0,7.0
152,32.5,35.3,473,467.2,222,239,230.0,232.0,-8.0,-6.0
154,32.6,35.0,461,455.5,212,224,222.0,230.0,-10.0,-2.0
156,32.7,34.8,457,451.4,209,221,212.0,222.0,-3.0,7.0
159,32.8,34.7,453,446.9,205,221,209.0,212.0,-4.0,-1.0
161,32.9,34.5,455,448.7,206,223,205.0,209.0,1.0,5.0
163,33.0,34.2,455,448.9,206,225,206.0,205.0,0.0,-1.0
165,33.1,34.1,464,457.2,214,235,206.0,206.0,8.0,8.0
168,33.1,34.0,460,453.6,210,233,214.0,206.0,-4.0,-12.0
170,33.2,33.9,470,463.0,218,238,210.0,214.0,8.0,12.0
172,33.3,33.8,473,465.4,220,245,218.0,210.0,2.0,-6.0
174,33.4,33.7,472,463.8,219,240,220.0,218.0,-1.0,-3.0
177,33.5,33.5,469,460.7,216,234,219.0,220.0,-3.0,-2.0
179,33.6,33.4,475,466.1,221,241,216.0,219.0,5.0,8.0
181,33.6,33.3,479,470.3,225,250,221.0,216.0,4.0,-1.0
183,33.7,33.3,476,466.5,221,243,225.0,221.0,-4.0,-8.0
186,33.8,33.2,473,463.0,218,235,221.0,225.0,-3.0,1.0
188,33.9,33.1,466,455.6,212,228,218.0,221.0,-6.0,-3.0
190,33.9,33.0,466,456.0,212,228,212.0,218.0,0.0,6.0
192,34.0,32.9,460,449.6,207,225,212.0,212.0,-5.0,-5.0
195,34.0,32.7,456,446.4,205,220,207.0,212.0,-2.0,3.0
197,34.0,32.7,461,451.3,209,228,205.0,207.0,4.0,6.0
199,34.1,32.6,469,458.5,215,238,209.0,205.0,6.0,2.0
201,34.1,32.5,472,461.8,217,241,215.0,209.0,2.0,-4.0
204,34.2,32.4,470,459.3,215,235,217.0,215.0,-2.0,-4.0
206,34.3,32.3,463,452.0,209,225,215.0,217.0,-6.0,-4.0
208,34.3,32.3,458,447.1,205,219,209.0,215.0,-4.0,2.0
210,34.3,32.2,462,451.3,209,227,205.0,209.0,4.0,8.0
213,34.4,32.2,454,442.7,201,219,209.0,205.0,-8.0,-12.0
215,34.4,32.1,449,438.1,198,210,201.0,209.0,-3.0,5.0
217,34.5,32.1,449,437.3,197,213,198.0,201.0,-1.0,2.0
219,34.5,32.0,449,437.6,197,214,197.0,198.0,0.0,1.0
222,34.6,32.0,445,432.9,193,209,197.0,197.0,-4.0,-4.0
224,34.6,32.0,439,427.0,189,203,193.0,197.0,-4.0,0.0
226,34.7,31.9,434,421.7,184,197,189.0,193.0,-5.0,-1.0
228,34.7,31.9,435,422.7,185,199,184.0,189.0,1.0,6.0
231,34.7,31.8,439,426.9,188,206,185.0,184.0,3.0,2.0
233,34.8,31.8,438,425.1,187,205,188.0,185.0,-1.0,-4.0
235,34.8,31.8,443,429.9,190,207,187.0,188.0,3.0,4.0
237,34.9,31.7,444,430.4,191,210,190.0,187.0,1.0,-2.0
240,34.9,31.7,443,429.4,190,207,191.0,190.0,-1.0,-2.0
242,34.9,31.7,442,428.5,190,206,190.0,191.0,0.0,1.0
244,34.9,31.7,443,429.4,190,207,190.0,190.0,0.0,0.0
246,35.0,31.5,447,433.1,194,212,190.0,190.0,4.0,4.0
249,35.0,31.5,452,438.0,197,218,194.0,190.0,3.0,-1.0
251,35.0,31.5,454,439.9,199,219,197.0,194.0,2.0,-1.0
253,35.1,31.4,449,434.6,195,213,199.0,197.0,-4.0,-6.0
255,35.1,31.4,445,430.7,191,205,195.0,199.0,-4.0,0.0
258,35.1,31.4,443,428.8,190,204,191.0,195.0,-1.0,3.0
260,35.1,31.4,443,428.8,190,206,190.0,191.0,0.0,1.0
262,35.2,31.4,443,427.9,189,206,190.0,190.0,-1.0,-1.0
264,35.2,31.3,444,429.2,190,207,189.0,190.0,1.0,2.0
267,35.2,31.3,439,424.4,186,202,190.0,189.0,-4.0,-5.0
269,35.2,31.3,435,420.5,183,196,186.0,190.0,-3.0,1.0
271,35.3,31.3,431,415.9,179,192,183.0,186.0,-4.0,-1.0
273,35.3,31.3,426,411.0,175,187,179.0,183.0,-4.0,0.0
276,35.3,31.2,429,414.3,178,192,175.0,179.0,3.0,7.0
278,35.3,31.2,430,415.2,179,197,178.0,175.0,1.0,-2.0
280,35.4,31.2,426,410.6,175,190,179.0,178.0,-4.0,-5.0
282,35.4,31.2,422,406.7,171,183,175.0,179.0,-4.0,0.0
285,35.4,31.2,416,400.9,166,177,171.0,175.0,-5.0,-1.0
287,35.4,31.2,407,392.3,160,169,166.0,171.0,-6.0,-1.0
289,35.5,31.1,406,390.8,158,168,160.0,166.0,-2.0,4.0
291,35.5,31.1,405,389.9,157,169,158.0,160.0,-1.0,1.0
294,35.5,31.1,405,389.9,157,170,157.0,158.0,0.0,1.0
296,35.5,31.1,406,390.8,158,172,157.0,157.0,1.0,1.0
298,35.5,31.1,397,382.2,151,163,158.0,157.0,-7.0,-8.0
300,35.5,31.1,390,375.4,145,152,151.0,158.0,-6.0,1.0
303,35.6,31.1,384,368.9,140,147,145.0,151.0,-5.0,1.0
305,35.6,31.1,377,362.2,135,142,140.0,145.0,-5.0,0.0
307,35.6,31.0,373,358.7,131,138,135.0,140.0,-4.0,1.0
309,35.6,31.0,368,353.8,127,134,131.0,135.0,-4.0,0.0
312,35.6,31.0,360,346.2,121,127,127.0,131.0,-6.0,-2.0
314,35.6,31.0,349,335.6,112,115,121.0,127.0,-9.0,-3.0
316,35.6,31.0,338,325.0,104,105,112.0,121.0,-8.0,1.0
318,35.6,31.0,328,315.4,95,95,104.0,112.0,-9.0,-1.0
320,35.6,31.0,322,309.6,90,90,95.0,104.0,-5.0,4.0
322,35.7,31.0,318,305.2,87,89,90.0,95.0,-3.0,2.0
324,35.7,31.0,313,300.4,83,86,87.0,90.0,-4.0,-1.0
326,35.7,31.0,310,297.5,80,82,83.0,87.0,-3.0,1.0
328,35.7,31.0,308,295.6,79,82,80.0,83.0,-1.0,2.0
330,35.7,31.0,305,292.7,76,80,79.0,80.0,-3.0,-2.0
332,35.7,31.0,304,291.7,75,78,76.0,79.0,-1.0,2.0
334,35.7,30.9,303,291.0,75,79,75.0,76.0,0.0,1.0
337,35.7,30.9,302,290.0,75,80,75.0,75.0,0.0,0.0
339,35.7,30.9,302,290.0,75,80,75.0,75.0,0.0,0.0
341,35.7,30.9,300,288.1,73,77,75.0,75.0,-2.0,-2.0
343,35.7,30.9,296,284.3,70,72,73.0,75.0,-3.0,-1.0
345,35.7,30.9,293,281.4,67,68,70.0,73.0,-3.0,0.0
347,35.7,30.9,290,278.5,65,66,67.0,70.0,-2.0,1.0
349,35.8,30.9,286,274.2,61,62,65.0,67.0,-4.0,-2.0
351,35.8,30.9,283,271.3,59,59,61.0,65.0,-2.0,2.0
353,35.8,30.9,281,269.4,57,58,59.0,61.0,-2.0,0.0
355,35.8,30.9,280,268.4,56,57,57.0,59.0,-1.0,1.0
357,35.8,30.9,277,265.5,54,55,56.0,57.0,-2.0,-1.0
359,35.8,30.9,275,263.6,52,53,54.0,56.0,-2.0,0.0
361,35.8,30.9,273,261.7,50,50,52.0,54.0,-2.0,0.0
363,35.8,30.9,272,260.7,50,51,50.0,52.0,0.0,2.0
365,35.8,30.9,271,259.8,49,51,50.0,50.0,-1.0,-1.0
367,35.8,30.9,271,259.8,49,50,49.0,50.0,0.0,1.0
369,35.8,30.9,270,258.8,48,50,49.0,49.0,-1.0,-1.0
371,35.8,30.9,270,258.8,48,49,48.0,49.0,0.0,1.0
373,35.8,30.9,268,256.9,46,47,48.0,48.0,-2.0,-2.0
375,35.8,30.9,266,255.0,45,45,46.0,48.0,-1.0,1.0
377,35.8,30.8,264,253.3,44,45,45.0,46.0,-1.0,0.0
379,35.9,30.8,263,251.8,42,42,44.0,45.0,-2.0,-1.0
382,35.9,30.8,262,250.9,41,41,42.0,44.0,-1.0,1.0
384,35.9,30.8,261,249.9,40,40,41.0,42.0,-1.0,0.0
386,35.9,30.8,259,248.0,39,39,40.0,41.0,-1.0,0.0
388,35.9,30.8,258,247.0,39,39,39.0,40.0,0.0,1.0
390,35.9,30.8,257,246.1,38,39,39.0,39.0,-1.0,-1.0
392,35.9,30.8,255,244.2,36,35,38.0,39.0,-2.0,-1.0
394,35.9,30.8,255,244.2,36,35,36.0,38.0,0.0,2.0
396,35.9,30.8,254,243.2,35,35,36.0,36.0,-1.0,-1.0
398,35.9,30.8,253,242.2,35,35,35.0,36.0,0.0,1.0
400,35.9,30.8,252,241.3,34,34,35.0,35.0,-1.0,-1.0
402,35.9,30.8,251,240.3,33,32,34.0,35.0,-1.0,0.0
404,35.9,30.8,250,239.4,32,31,33.0,34.0,-1.0,0.0
406,35.9,30.8,249,238.4,31,30,32.0,33.0,-1.0,0.0
408,35.9,30.8,248,237.5,30,29,31.0,32.0,-1.0,0.0
410,36.0,30.7,248,237.2,30,29,30.0,31.0,0.0,1.0
412,36.0,30.7,248,237.2,30,30,30.0,30.0,0.0,0.0
414,36.0,30.7,247,236.2,30,30,30.0,30.0,0.0,0.0
416,36.1,30.7,247,235.8,29,29,30.0,30.0,-1.0,-1.0
418,36.0,30.7,247,236.2,30,30,29.0,30.0,1.0,2.0
420,36.0,30.7,247,236.2,30,30,30.0,29.0,0.0,-1.0
422,36.0,30.7,247,236.2,30,30,30.0,30.0,0.0,0.0
425,36.0,30.7,246,235.3,29,29,30.0,30.0,-1.0,-1.0
427,36.0,30.7,245,234.3,28,27,29.0,30.0,-1.0,0.0
429,36.0,30.7,245,234.3,28,27,28.0,29.0,0.0,1.0
431,36.0,30.7,244,233.4,27,26,28.0,28.0,-1.0,-1.0
433,36.0,30.7,243,232.4,26,25,27.0,28.0,-1.0,0.0
435,36.0,30.7,243,232.4,26,25,26.0,27.0,0.0,1.0
437,36.0,30.7,242,231.4,25,24,26.0,26.0,-1.0,-1.0
439,36.0,30.7,241,230.5,25,24,25.0,26.0,0.0,1.0
441,36.0,30.7,240,229.5,24,23,25.0,25.0,-1.0,-1.0
443,36.0,30.7,239,228.6,23,21,24.0,25.0,-1.0,0.0
445,36.1,30.7,238,227.2,22,20,23.0,24.0,-1.0,0.0
447,36.1,30.7,237,226.2,21,19,22.0,23.0,-1.0,0.0
449,36.1,30.7,238,227.2,22,21,21.0,22.0,1.0,2.0
451,36.1,30.7,237,226.2,21,20,22.0,21.0,-1.0,-2.0
453,36.1,30.7,237,226.2,21,19,21.0,22.0,0.0,1.0
455,36.1,30.7,237,226.2,21,20,21.0,21.0,0.0,0.0
457,36.1,30.7,236,225.3,20,19,21.0,21.0,-1.0,-1.0
459,36.1,30.7,236,225.3,20,18,20.0,21.0,0.0,1.0
461,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
463,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
465,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
468,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
470,36.1,30.7,235,224.3,20,19,20.0,20.0,0.0,0.0
472,36.1,30.7,234,223.4,19,18,20.0,20.0,-1.0,-1.0
474,36.1,30.7,233,222.4,18,16,19.0,20.0,-1.0,0.0
476,36.1,30.7,232,221.5,17,15,18.0,19.0,-1.0,0.0
478,36.1,30.7,232,221.5,17,15,17.0,18.0,0.0,1.0
480,36.1,30.7,231,220.5,16,14,17.0,17.0,-1.0,-1.0
482,36.1,30.7,231,220.5,16,14,16.0,17.0,0.0,1.0
484,36.2,30.7,230,219.1,15,13,16.0,16.0,-1.0,-1.0
486,36.2,30.7,229,218.2,15,13,15.0,16.0,0.0,1.0
488,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
490,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
492,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
494,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
496,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
498,36.2,30.7,228,217.2,14,12,15.0,15.0,-1.0,-1.0
500,36.2,30.7,228,217.2,14,12,14.0,15.0,0.0,1.0
502,36.2,30.7,228,217.2,14,12,14.0,14.0,0.0,0.0
504,36.2,30.7,228,217.2,14,12,14.0,14.0,0.0,0.0
506,36.1,30.7,228,217.6,14,12,14.0,14.0,0.0,0.0
508,36.1,30.7,227,216.7,13,11,14.0,14.0,-1.0,-1.0
511,36.1,30.7,227,216.7,13,11,13.0,14.0,0.0,1.0
513,36.1,30.7,227,216.7,13,11,13.0,13.0,0.0,0.0
515,36.1,30.7,226,215.7,12,10,13.0,13.0,-1.0,-1.0
517,36.2,30.7,226,215.3,12,9,12.0,13.0,0.0,1.0
519,36.1,30.7,226,215.7,12,10,12.0,12.0,0.0,0.0
521,36.1,30.7,226,215.7,12,10,12.0,12.0,0.0,0.0
523,36.1,30.7,225,214.8,11,9,12.0,12.0,-1.0,-1.0
525,36.1,30.7,225,214.8,11,8,11.0,12.0,0.0,1.0
527,36.1,30.7,224,213.8,10,8,11.0,11.0,-1.0,-1.0
529,36.1,30.7,223,212.9,10,7,10.0,11.0,0.0,1.0
531,36.1,30.7,223,212.9,10,8,10.0,10.0,0.0,0.0
533,36.1,30.7,222,211.9,9,6,10.0,10.0,-1.0,-1.0
535,36.1,30.7,222,211.9,9,6,9.0,10.0,0.0,1.0
537,36.1,30.7,221,211.0,8,5,9.0,9.0,-1.0,-1.0
539,36.1,30.7,221,211.0,8,5,8.0,9.0,0.0,1.0
541,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
543,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
545,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
547,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
549,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
551,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
554,36.1,30.8,220,209.8,7,4,8.0,8.0,-1.0,-1.0
556,36.1,30.8,220,209.8,7,4,7.0,8.0,0.0,1.0
558,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
560,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
562,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
564,36.1,30.8,219,208.9,6,3,7.0,7.0,-1.0,-1.0
566,36.1,30.8,219,208.9,6,3,6.0,7.0,0.0,1.0
568,36.1,30.8,219,208.9,6,3,6.0,6.0,0.0,0.0
611,36.2,30.8,259,246.6,38,48,6.0,6.0,32.0,32.0
613,36.1,31.4,312,296.2,80,117,38.0,6.0,42.0,10.0
615,36.0,31.3,350,333.2,110,150,80.0,38.0,30.0,-12.0
617,35.9,31.5,398,379.0,149,188,110.0,80.0,39.0,9.0
620,35.7,31.7,426,406.6,171,214,149.0,110.0,22.0,-17.0
622,35.6,31.7,448,428.5,190,224,171.0,149.0,19.0,-3.0
